CustomerKey,Prefix,FirstName,LastName,BirthDate,Address,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11019,MR.,LUKE,LAL,3/7/1978,551 Rainier Dr,,M,luke18@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11020,MR.,JORDAN,KING,9/20/1978,591 Merriewood Drive,,M,jordan73@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11021,MS.,DESTINY,WILSON,9/3/1978,1579 Plaza Rosa,,F,destiny7@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N
11022,MR.,ETHAN,ZHANG,10/12/1978,1873 Lyon Circle,,M,ethan20@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y
11023,MR.,SETH,EDWARDS,10/11/1978,3114 Notre Dame Ave.,,M,seth46@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y
11024,MR.,RUSSELL,XIE,9/17/1978,6318 Marclair Dr.,,M,russell7@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y
11025,,ALEJANDRO,BECK,12/23/1945,7814 Milburn Dr.,,NA,alejandro45@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y
11026,MR.,HAROLD,SAI,4/3/1946,3928 San Francisco,,M,harold3@adventure-works.com,"$30,000 ",2,Partial College,Clerical,N
11027,MR.,JESSIE,ZHAO,12/7/1946,5678 McElroy Court,,M,jessie16@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y
11028,MRS.,JILL,JIMENEZ,4/11/1946,2046 Las Palmas,,F,jill13@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y
11029,MR.,JIMMY,MORENO,12/21/1946,608 Lincoln Dr.,,M,jimmy9@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y
11030,MRS.,BETHANY,YUAN,2/22/1947,7230 Berrellesa Street,,F,bethany10@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y
11031,MRS.,THERESA,RAMOS,8/22/1947,2144 San Rafael,,F,theresa13@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11032,MRS.,DENISE,STONE,6/11/1947,1676 Greer Ave.,,F,denise10@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11033,MR.,JAIME,NATH,9/23/1947,6843 San Simeon Dr.,,M,jaime41@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11034,MRS.,EBONY,GONZALEZ,6/19/1947,6629 Polson Circle,,F,ebony19@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11035,,WENDY,DOMINGUEZ,2/24/1948,Rt. 470 Box A,,NA,wendy12@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y
11036,MS.,JENNIFER,RUSSELL,12/18/1978,7403 N. Broadway,,F,jennifer93@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y
11037,MS.,CHLOE,GARCIA,11/27/1977,5734 Ashford Court,,F,chloe27@adventure-works.com,"$40,000 ",0,Partial High School,Clerical,N
11038,MRS.,DIANA,HERNANDEZ,3/23/1948,8684 Military East,,F,diana2@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y
11039,MR.,MARC,MARTIN,12/17/1948,7270 Pepperidge Way,,M,marc3@adventure-works.com,"$30,000 ",3,Partial College,Clerical,Y
11040,MR.,JESSE,MURPHY,8/1/1977,475 Santa Maria,,M,jesse15@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,Y
11041,MS.,AMANDA,CARTER,10/16/1977,1970 Napa Ct.,,F,amanda53@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y
11042,MS.,MEGAN,SANCHEZ,6/13/1977,8084 Cardiff Drive,,F,megan28@adventure-works.com,"$70,000 ",0,Partial College,Skilled Manual,Y
11043,MR.,NATHAN,SIMMONS,2/24/1976,9833 Mt. Dias Blv.,,M,nathan11@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y
11044,MR.,ADAM,FLORES,5/24/1949,6202 Seeno St.,,M,adam10@adventure-works.com,"$20,000 ",2,Partial High School,Clerical,Y
11045,MR.,LEONARD,NARA,5/19/1950,862 The Alameda,,M,leonard18@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N
11046,MRS.,CHRISTINE,YUAN,3/22/1950,7484 Roundtree Drive,,F,christine4@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y
11047,MRS.,JACLYN,LU,2/27/1950,5053 Loftus Road,,F,jaclyn12@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N
11048,MR.,JEREMY,POWELL,11/22/1950,1930 Almondwood Drive,,M,jeremy26@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y
11049,MS.,CAROL,RAI,7/18/1980,9752 Jeanne Circle,,F,carol8@adventure-works.com,"$40,000 ",0,Partial High School,Clerical,Y
11050,MR.,ALAN,ZHENG,9/7/1951,9539 Glenside Dr,,M,alan23@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y
11051,MR.,DANIEL,JOHNSON,8/4/1951,7616 Honey Court,,M,daniel18@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N
11052,MRS.,HEIDI,LOPEZ,8/7/1951,7657 H St.,,F,heidi19@adventure-works.com,"$40,000 ",2,Partial College,Clerical,N
11053,MS.,ANA,PRICE,8/20/1980,5988 Red Leaf,,F,ana0@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,N
11054,MRS.,DEANNA,MUNOZ,3/10/1952,8938 West Hookston Road,,F,deanna33@adventure-works.com,"$40,000 ",2,Partial College,Skilled Manual,Y
11055,MR.,GILBERT,RAJE,3/5/1952,181 Gainsborough Drive,,M,gilbert35@adventure-works.com,"$40,000 ",2,Partial College,Skilled Manual,Y
11056,MRS.,MICHELE,NATH,4/3/1953,3385 Crestview Drive,,F,michele19@adventure-works.com,"$40,000 ",3,Partial College,Skilled Manual,Y
11057,MR.,CARL,ANDERSEN,10/12/1953,6912 Laguna St.,,M,carl12@adventure-works.com,"$70,000 ",2,Graduate Degree,Management,Y
11058,MR.,MARC,DIAZ,4/27/1954,371 Ahneita Dr.,,M,marc6@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y
11059,MRS.,ASHLEE,ANDERSEN,4/1/1954,4776 Kentucky Drive,,F,ashlee19@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y
11060,MR.,JON,ZHOU,3/17/1954,1145 Paraiso Ct.,,M,jon28@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y
11061,MR.,TODD,GAO,2/27/1954,3148 Rose Street,,M,todd14@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y
11062,MR.,NOAH,POWELL,9/2/1975,2427 Notre Dame Ave.,,M,noah5@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11063,MS.,ANGELA,MURPHY,4/7/1975,7340 Green St.,,F,angela41@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11064,MR.,CHASE,REED,12/7/1975,6872 Thornwood Dr.,,M,chase21@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11065,MS.,JESSICA,HENDERSON,10/9/1973,2040 Encino Drive,,F,jessica29@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,N
11066,MS.,GRACE,BUTLER,11/27/1973,1826 Corte Del Sol,,F,grace62@adventure-works.com,"$70,000 ",0,Partial College,Professional,Y
11067,MR.,CALEB,CARTER,9/25/1976,9903 East Leland,,M,caleb40@adventure-works.com,"$60,000 ",0,Partial College,Professional,Y
11068,MRS.,TIFFANY,LIANG,9/23/1955,9943 Stonehedge Dr.,,F,tiffany17@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,Y
11069,MRS.,CAROLYN,NAVARRO,9/21/1955,931 Corte De Luna,,F,carolyn30@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,N
11070,MR.,WILLIE,RAJI,4/5/1955,1226 Shoenic,,M,willie40@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,Y
11071,MRS.,LINDA,SERRANO,6/26/1955,2467 Clearland Circle,,F,linda31@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,Y
11072,MRS.,CASEY,LUO,2/6/1955,5671 Bel Air Dr.,,F,casey6@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,N
11073,MRS.,AMY,YE,8/14/1956,7166 Brock Lane,,F,amy16@adventure-works.com,"$70,000 ",2,High School,Skilled Manual,Y
11074,MR.,LEVI,ARUN,8/28/1956,3281 Hillview Dr.,,M,levi6@adventure-works.com,"$70,000 ",2,High School,Skilled Manual,Y
11075,MRS.,FELICIA,JIMENEZ,11/16/1957,5030 Blue Ridge Dr.,,F,felicia4@adventure-works.com,"$80,000 ",2,High School,Professional,Y
11076,MR.,BLAKE,ANDERSON,7/13/1957,1399 Firestone Drive,,M,blake9@adventure-works.com,"$80,000 ",2,High School,Professional,Y
11077,MRS.,LEAH,YE,9/19/1957,6058 Hill Street,,F,leah7@adventure-works.com,"$80,000 ",2,High School,Professional,N
11078,MS.,GINA,MARTIN,1/10/1974,2681 Eagle Peak,,F,gina1@adventure-works.com,"$40,000 ",0,High School,Professional,N
11079,MR.,DONALD,GONZALEZ,3/11/1959,7594 Alexander Pl.,,M,donald20@adventure-works.com,"$160,000 ",0,Graduate Degree,Management,Y
11080,MR.,DAMIEN,CHANDER,7/17/1959,7126 Edie Ct.,,M,damien32@adventure-works.com,"$170,000 ",0,Graduate Degree,Management,Y
11081,MRS.,SAVANNAH,BAKER,7/24/1966,2294 West 39th St.,,F,savannah39@adventure-works.com,"$120,000 ",2,Bachelors,Management,Y
11082,,ANGELA,BUTLER,8/4/1966,2080 Sycamore Drive,,NA,angela17@adventure-works.com,"$130,000 ",0,Graduate Degree,Management,N
11083,MS.,ALYSSA,COX,3/15/1966,158 Walnut Ave,,F,alyssa37@adventure-works.com,"$130,000 ",0,Graduate Degree,Management,Y
11084,MR.,LUCAS,PHILLIPS,9/12/1957,2854 Magda Way,,M,lucas7@adventure-works.com,"$80,000 ",2,Partial High School,Skilled Manual,N
11085,MRS.,EMILY,JOHNSON,7/19/1957,1185 Dallis Drive,,F,emily1@adventure-works.com,"$60,000 ",2,High School,Professional,N
11086,MR.,RYAN,BROWN,12/23/1957,8154 Via Mexico,,M,ryan43@adventure-works.com,"$70,000 ",2,Partial College,Professional,Y
11087,MRS.,TAMARA,LIANG,10/3/1957,6740 Jalisco,,F,tamara6@adventure-works.com,"$70,000 ",3,Partial College,Professional,N
11089,MRS.,ABIGAIL,PRICE,2/5/1957,2601 Cambridge Drive,,F,abigail25@adventure-works.com,"$80,000 ",2,Bachelors,Management,Y
11090,MR.,TREVOR,BRYANT,12/17/1957,4096 San Remo,,M,trevor18@adventure-works.com,"$90,000 ",2,Partial College,Professional,Y
11091,MR.,DALTON,PEREZ,4/4/1957,7554 Lakeview Pl.,,M,dalton37@adventure-works.com,"$90,000 ",2,Partial College,Professional,Y
11092,MRS.,CHERYL,DIAZ,5/6/1967,1960 Via Catanzaro,,F,cheryl4@adventure-works.com,"$90,000 ",2,Bachelors,Professional,Y
11093,MS.,AIMEE,HE,9/10/1967,5672 Hale Dr.,,F,aimee13@adventure-works.com,"$100,000 ",0,Graduate Degree,Management,Y
11094,MR.,CEDRIC,MA,4/1/1962,332 Laguna Niguel,,M,cedric15@adventure-works.com,"$70,000 ",1,Partial College,Skilled Manual,N
11095,MR.,CHAD,KUMAR,9/1/1962,6954 Garcia Ranch Road,,M,chad9@adventure-works.com,"$70,000 ",1,Partial College,Skilled Manual,Y
11096,MR.,ANDRÉS,ANAND,8/10/1962,4523 Via Cortez,,M,andrés18@adventure-works.com,"$60,000 ",1,Bachelors,Professional,Y
11097,MR.,EDWIN,NARA,10/27/1961,1400 Gibrix Drive,,M,edwin39@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
11098,MRS.,MALLORY,RUBIO,5/1/1961,9222 Roseann Drive,,F,mallory7@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,N
11099,MR.,ADAM,ROSS,3/8/1961,9009 W 46th St,,M,adam2@adventure-works.com,"$60,000 ",1,Bachelors,Professional,Y
11100,MRS.,LATASHA,NAVARRO,9/15/1960,7086 O St.,,F,latasha10@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
11101,MS.,ABBY,SAI,5/8/1965,7127 Morengo Court,,F,abby4@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11102,MRS.,JULIA,NELSON,4/21/1965,5458 Encino Drive,,F,julia7@adventure-works.com,"$80,000 ",5,Bachelors,Professional,Y
11103,MS.,CASSIE,CHANDE,10/17/1964,8408 Via Del Sol,,F,cassie13@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y
11104,MR.,EDGAR,SARA,3/11/1964,9650 Valley View Road,,M,edgar11@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11105,MS.,CANDACE,FERNANDEZ,12/28/1964,2855 Playa,,F,candace15@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11106,MR.,JESSIE,LIU,9/11/1964,4350 Mota Dr.,,M,jessie9@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11107,MRS.,BIANCA,LIN,9/9/1959,7808 Brown St.,,F,bianca7@adventure-works.com,"$90,000 ",1,Bachelors,Professional,Y
11108,MS.,KARI,ALVAREZ,7/14/1963,2214 Solano,,F,kari25@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11109,MR.,RUBEN,KAPOOR,11/5/1963,8582 San Jose Ave.,,M,ruben1@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11110,MR.,CURTIS,YANG,6/6/1962,3241 Brock Lane,,M,curtis5@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
11111,MRS.,MEREDITH,GUTIERREZ,2/23/1962,9863 Ridge Place,,F,meredith34@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
11112,MRS.,CRYSTAL,WANG,9/9/1962,4777 Rockne Drive,,F,crystal3@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
11113,MR.,MICHEAL,BLANCO,2/21/1962,4310 Kenston Dr.,,M,micheal11@adventure-works.com,"$70,000 ",5,Bachelors,Professional,Y
11114,MRS.,LESLIE,MORENO,5/28/1962,9476 Hill Top Rd.,,F,leslie7@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y
11115,MR.,ALVIN,CAI,2/12/1962,9263 Mt. McKinley Ct.,,M,alvin20@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y
11116,MR.,CLINTON,CARLSON,10/7/1962,620 Woodside Ct.,,M,clinton14@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y
11117,MRS.,APRIL,DENG,2/21/1961,661 Miller Ave.,,F,april1@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y
11118,MR.,ALVIN,ZENG,7/3/1957,1648 Eastgate Lane,,M,alvin21@adventure-works.com,"$80,000 ",1,Partial College,Skilled Manual,N
11119,MR.,EVAN,JAMES,4/10/1935,4598 Manila Avenue,,M,evan8@adventure-works.com,"$30,000 ",2,Partial College,Clerical,N
11121,MR.,ORLANDO,SUAREZ,11/18/1960,3183 Trasher Road,,M,orlando19@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y
11122,MR.,BYRON,VAZQUEZ,4/2/1960,6387 Scenic Avenue,,M,byron9@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y
11123,MR.,PHILIP,ALVAREZ,6/20/1960,7883 Mitchell Canyon Court,,M,philip4@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y
11124,MR.,ROSS,JORDAN,7/27/1957,3997 Via De Luna,,M,ross1@adventure-works.com,"$80,000 ",1,Partial College,Skilled Manual,Y
11125,MRS.,DANA,NAVARRO,4/8/1956,5747 Shirley Drive,,F,dana2@adventure-works.com,"$70,000 ",1,Partial College,Skilled Manual,Y
11126,MR.,SHAUN,CARSON,4/7/1949,2115 Pasado,,M,shaun16@adventure-works.com,"$10,000 ",2,High School,Skilled Manual,N
11127,MS.,JAN,EDWARDS,10/21/1975,6774 Bonanza,,F,jan11@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11128,MS.,SAMANTHA,LONG,12/5/1975,3397 Rancho View Drive,,F,samantha35@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11129,MS.,JULIA,WRIGHT,8/5/1975,8310 Ridge Circle,,F,julia17@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11130,MS.,CAROLINE,RUSSELL,1/6/1980,7842 Ygnacio Valley Road,,F,caroline21@adventure-works.com,"$30,000 ",0,High School,Skilled Manual,Y
11131,MS.,AMANDA,RIVERA,3/12/1980,5666 Hazelnut Lane,,F,amanda7@adventure-works.com,"$30,000 ",0,High School,Skilled Manual,N
11132,MS.,MELISSA,RICHARDSON,10/26/1980,5452 Corte Gilberto,,F,melissa31@adventure-works.com,"$30,000 ",0,High School,Skilled Manual,N
11133,MS.,ANGELA,GRIFFIN,9/8/1980,874 Olivera Road,,F,angela23@adventure-works.com,"$30,000 ",0,Partial High School,Clerical,N
11134,MR.,LARRY,TOWNSEND,2/26/1946,3570 Court Lane,,M,larry14@adventure-works.com,"$10,000 ",5,High School,Skilled Manual,Y
11135,MR.,MARCUS,HARRIS,11/3/1979,1902 Santa Cruz,,M,marcus14@adventure-works.com,"$30,000 ",0,Partial High School,Clerical,N
11136,MS.,BRIANNA,MORGAN,10/26/1978,4852 Chaparral Court,,F,brianna30@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11137,MS.,JASMINE,TAYLOR,7/20/1978,6093 Midway Ct.,,F,jasmine7@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11138,MS.,LAUREN,DAVIS,9/15/1978,9297 Kenston Dr.,,F,lauren23@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11139,MRS.,TANYA,MORENO,11/9/1938,793 Crawford Street,,F,tanya2@adventure-works.com,"$30,000 ",2,Partial College,Clerical,N
11140,MR.,JAVIER,ALVAREZ,2/11/1977,4251 San Onofre Court,,M,javier1@adventure-works.com,"$30,000 ",0,Partial High School,Clerical,N
11141,MS.,NICOLE,RAMIREZ,6/21/1977,8656 Lakespring Place,,F,nicole42@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11142,MR.,EDUARDO,PATTERSON,8/14/1977,5025 Holiday Hills,,M,eduardo55@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11143,MR.,JONATHAN,HENDERSON,2/4/1977,7028 San Gabriel Dr.,,M,jonathan4@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11144,MR.,EDWARD,HERNANDEZ,9/9/1979,6307 Grenadine Way,,M,edward48@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11145,MS.,JASMINE,COLEMAN,12/8/1979,1220 Bradford Way,,F,jasmine46@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11146,MRS.,KARLA,GOEL,8/26/1939,1999 Orangewood Court,,F,karla20@adventure-works.com,"$40,000 ",2,Bachelors,Management,Y
11147,MR.,ERNEST,WU,2/5/1939,9821 Juniper Drive,,M,ernest6@adventure-works.com,"$60,000 ",2,Graduate Degree,Management,Y
11148,MR.,ROSS,VAZQUEZ,8/16/1941,9608 Grammercy Lane,,M,ross32@adventure-works.com,"$40,000 ",2,Bachelors,Management,Y
11149,MR.,THEODORE,GILL,4/20/1941,7685 Imperial Dr,,M,theodore14@adventure-works.com,"$40,000 ",2,Bachelors,Management,Y
11150,MR.,RUSSELL,SHEN,3/15/1941,7726 Driftwood Drive,,M,russell6@adventure-works.com,"$40,000 ",2,Bachelors,Management,Y
11151,MRS.,MELINDA,GILL,2/25/1942,8713 Yosemite Ct.,,F,melinda9@adventure-works.com,"$60,000 ",2,Graduate Degree,Management,N
11152,MR.,JAMES,WILLIAMS,1/10/1976,9008 Creekside Drive,,M,james77@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11153,MS.,ANGELA,JAMES,6/23/1976,250 Geary Ct.,,F,angela34@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11154,MS.,MEGAN,WALKER,8/21/1976,3454 D Bel Air Drive,,F,megan25@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y
11155,MR.,HUNTER,ROBINSON,1/26/1976,4949 Dutch Slough Rd,,M,hunter50@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N
11156,MS.,MARIA,ROBERTS,2/7/1976,1064 Slavio,,F,maria47@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N
11157,MS.,HANNAH,LONG,6/11/1975,2813 Dew Drop Circle,,F,hannah32@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11158,MR.,JASON,WRIGHT,10/8/1975,9181 La Vista Circle,,M,jason46@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11159,MS.,BRIANNA,HUGHES,9/17/1975,3841 Silver Oaks Place,,F,brianna57@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11160,MR.,MAURICE,TANG,1/8/1974,463 H Stagecoach Rd.,,M,maurice4@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N
11161,MS.,EMILY,WOOD,4/22/1974,5376 Catanzaro Way,,F,emily27@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N
11162,MR.,CHASE,COX,3/5/1974,4909 Poco Lane,,M,chase10@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y
11163,MR.,GABRIEL,WANG,12/20/1974,77 Birchwood,,M,gabriel21@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y
11164,MR.,DEVIN,BROOKS,5/5/1974,9862 Ahneita Dr.,,M,devin63@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N
11165,MS.,JOCELYN,ALEXANDER,7/18/1973,7939 Bayview Court,,F,jocelyn18@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,N
11166,MS.,ASHLEY,MARTINEZ,4/24/1972,636 Vine Hill Way,,F,ashley18@adventure-works.com,"$70,000 ",0,Partial College,Skilled Manual,N
11167,MS.,JASMINE,BARNES,8/1/1972,8967 Hamilton Ave.,,F,jasmine43@adventure-works.com,"$80,000 ",0,Bachelors,Management,N
11168,MR.,DAVID,RODRIGUEZ,5/15/1968,1918 Terra Granada,,M,david83@adventure-works.com,"$80,000 ",0,Bachelors,Management,N
11169,MR.,BRYCE,RICHARDSON,6/22/1968,504 O St.,,M,bryce8@adventure-works.com,"$90,000 ",4,Bachelors,Management,Y
11170,MRS.,CAROL,HOWARD,2/5/1968,3708 Montana,,F,carol5@adventure-works.com,"$90,000 ",4,Bachelors,Management,Y
11171,MR.,JONATHAN,HILL,10/9/1967,5203 Virginia Lane,,M,jonathan43@adventure-works.com,"$100,000 ",1,Bachelors,Management,Y
11172,MRS.,GABRIELLE,ADAMS,11/21/1967,1318 Lasalle Street,,F,gabrielle58@adventure-works.com,"$100,000 ",1,Bachelors,Management,Y
11173,MS.,SARAH,THOMAS,9/1/1967,3067 Maya,,F,sarah13@adventure-works.com,"$110,000 ",0,Graduate Degree,Management,N
11174,MR.,NICHOLAS,ROBINSON,7/13/1967,9435 Breck Court,,M,nicholas19@adventure-works.com,"$110,000 ",0,Graduate Degree,Management,Y
11175,MR.,LUIS,WANG,3/5/1963,4095 Cooper Dr.,,M,luis24@adventure-works.com,"$70,000 ",0,Partial College,Skilled Manual,Y
11176,MR.,MASON,ROBERTS,1/25/1968,5242 Marvelle Ln.,,M,mason25@adventure-works.com,"$90,000 ",4,Bachelors,Management,Y
11177,MR.,JOSE,FLORES,7/4/1942,2812 East Lake Court,,M,jose6@adventure-works.com,"$110,000 ",2,Graduate Degree,Management,Y
11178,MR.,NATHAN,JOHNSON,8/24/1943,9687 Shakespeare Drive,,M,nathan55@adventure-works.com,"$100,000 ",2,Graduate Degree,Management,Y
11179,MRS.,MOLLY,RODRIGUEZ,6/14/1943,7511 Cooper Dr.,,F,molly18@adventure-works.com,"$120,000 ",2,Graduate Degree,Management,Y
11180,MRS.,APRIL,ANAND,1/2/1943,7297 Rosalinda,,F,april18@adventure-works.com,"$160,000 ",1,Bachelors,Management,Y
11181,MR.,DEVIN,MARTIN,8/8/1943,5375 Clearland Circle,,M,devin13@adventure-works.com,"$170,000 ",2,Graduate Degree,Management,Y
11182,MRS.,STEPHANIE,TORRES,8/25/1944,5415 San Gabriel Dr.,,F,stephanie19@adventure-works.com,"$70,000 ",4,Bachelors,Management,Y
11183,MRS.,JASMINE,LEE,7/15/1944,3747 Likins Avenue,,F,jasmine19@adventure-works.com,"$70,000 ",4,Bachelors,Management,Y
